Episode 142, Goal reached at timestep: 1874, States explored: 64, Total reward: -379.88079404659743
Episode 143, Goal reached at timestep: 227, States explored: 64, Total reward: -41.50899023357692
Episode 144, Goal reached at timestep: 242, States explored: 64, Total reward: -45.23414528187514
Episode 145, Goal reached at timestep: 601, States explored: 64, Total reward: -129.26913714428744
Episode 146, Goal reached at timestep: 137, States explored: 64, Total reward: -33.33422483689368
Episode 147, Goal reached at timestep: 55, States explored: 64, Total reward: -14.410993448429364
Episode 148, Goal reached at timestep: 101, States explored: 64, Total reward: -23.72644733348535
Episode 149, Goal reached at timestep: 399, States explored: 64, Total reward: -81.98508297652432
Episode 150, Goal reached at timestep: 133, States explored: 64, Total reward: -28.76934387669473
Episode 151, Goal reached at timestep: 76, States explored: 64, Total reward: -21.483394255760924
Episode 152, Goal reached at timestep: 225, States explored: 64, Total reward: -52.00565263386899
Episode 153, Goal reached at timestep: 84, States explored: 64, Total reward: -19.352403943069376
Episode 154, Goal reached at timestep: 1354, States explored: 64, Total reward: -289.65223588606017
Episode 155, Goal reached at timestep: 84, States explored: 64, Total reward: -24.999781833046793
Episode 156, Goal reached at timestep: 340, States explored: 64, Total reward: -75.75617002186067
Episode 157, Goal reached at timestep: 365, States explored: 64, Total reward: -86.8236210925082
Episode 158, Goal reached at timestep: 150, States explored: 64, Total reward: -41.540472340840374
Episode 159, Goal reached at timestep: 340, States explored: 64, Total reward: -86.1244935351306
Episode 160, Goal reached at timestep: 53, States explored: 64, Total reward: -11.767122645397809
Episode 161, Goal reached at timestep: 101, States explored: 64, Total reward: -19.18065401222841
Episode 162, Goal reached at timestep: 885, States explored: 65, Total reward: -169.32894117769607
Episode 163, Goal reached at timestep: 471, States explored: 67, Total reward: -101.65197887644989
Episode 164, Goal reached at timestep: 139, States explored: 67, Total reward: -38.159465049225325
Episode 165, Goal reached at timestep: 740, States explored: 67, Total reward: -193.8770146948508
Episode 166, Goal reached at timestep: 134, States explored: 67, Total reward: -28.191607392656014
Episode 167, Goal reached at timestep: 319, States explored: 67, Total reward: -64.7116802351027
Episode 168, Goal reached at timestep: 198, States explored: 67, Total reward: -45.88611011612667
Episode 169, Goal reached at timestep: 158, States explored: 67, Total reward: -49.161832865476065
Episode 170, Goal reached at timestep: 639, States explored: 67, Total reward: -159.40089409983668
